Text,Category
This is ridiculous,1
or take them with us,1
Use ground attacks with the army... Higher costs but less casualties,1
"They are a part of our coalition, send troops immediately",1
find another solution,1
Voluntary recruitment,1
Maintain close ties with the Axis powers.,1
"Depend the capital, and wait for the Winters",1
"Remind soldiers of the external threat , their purpose and instigate feelings of unity.  It may spark unwanted complications on the battlefield.",1
Stay loyal with the present regime,1
Water-boarding,1
Soft Interrogation,1
Evacuate the families safely,1
take the risk to save him,1
Tolerate the extreme torture,1
yes i'll help,1
i'll lead all,1
I have to save him,1
I will complete this mission,1
Stay Positive,1
We will definitely win,1
I can go to any extent to save my friend,1
Don't tell our secrets to the enemy,1
Rescue the injured soldiers,1
Treat them well,0
We will complete the Project,0
Use air attacks. Reduces your costing effectively but has maximum innocent casualties,0
Should we leave them behind,0
We need the troops for our own expeditions,0
Declare war on Germany and stop German aggression,0
Will you invade Belgium,0
Recruit them in the army forcefully,0
Take sides with the United States and join the Allied Powers,0
Group out and defect,0
Launch an immediate all out offence,0
"Segregate the squad into two camps , to subdue any immediate conflict , but it may instill stronger feelings of mutiny",0
Brutal Physical Torture,0
Electric Shock,0
Everyone is equally guilty and is treated same,0
Taking the risk may cause your life. One loss is better than two,0
Tell them the coordinates and join the other. Your life will be saved,0
"Don't take any immediate action, let the situation fix itself",0
I can't help you in this regard,0
Do it yourself,0
I can't do it,0
I should not help you,0
I can't waste my time for you,0
I can't risk my life for you,0
I have to kill him,0
The war in on,0
He had a feeling the war was just getting interesting,0
We got a war to fight and women waiting for us,1
World war II ushered in the age of nuclear weapons,0
"Its end led directly to the Cold War, which consumed inconceivable amounts of money and almost pushed the world to the brink of nuclear devastation",0
"But all along, they believed they would prevail, and not just win the war, but also do something that would change the course of history for all time",1
"If there can be a day without war, then there can be two days without it.",1
"The future will be without war, ignorance, war, disease, hunger, poverty",1
"It is an acknowledgement that war is completely a choice and our choice can be ""no""",1
"Instead of war in his background, there was peacemaking and diplomacy from the beginning",1
"Poverty, disease, ignorance, famine and war have dominated life on this planet",0
"The different inherent in trying to end war, which in the past, brought misery and destruction and in the future could bring annihilation",0
"After all, we have had war almost constantly throughout history and yet have still managed to progress ",1
"Whatever the case in the past, war in the future can serve no useful purpose",1
Half the population in this planet had been decimated by famine and war,0
"A few years later, witht the United States again at war, most of its top medical minds were engaged in the war effort",0
"Then the war became obsolete, as foreign to us as slavery and public hangings",1
